id,workout_type,elapsed_time,average_watts,max_watts,weighted_average_watts,kilojoules,gear_id,pr_count,suffer_score,device_name,location_city,location_state,achievement_count,kudos_count,strain,calories
14315900431,,2072,178.2,245.0,179.0,368.5,g7385283,0,,,,,0,5,,
14282207832,30.0,2165,,,,,,0,,,,,0,0,,
14276670215,,3651,,,,,,0,,,,,0,0,,
14276670247,,1409,,,,,g7385283,0,,,,,0,2,,
14275507057,30.0,3067,,,,,,0,,,,,0,1,,
14266884140,0.0,1883,181.4,203.0,179.0,334.2,g7385283,0,,,,,0,4,,
14266456727,30.0,2746,,,,,,0,,,,,0,0,,
14244241424,30.0,1862,,,,,,0,,,,,0,0,,
14234954011,,2825,,,,,,0,,,,,0,3,,
14223690099,30.0,3633,,,,,,0,,,,,0,1,,
14217839996,,2178,,,,,,0,,,,,0,0,,
14207115812,30.0,3361,,,,,,0,,,,,0,1,,
14197930547,30.0,2746,,,,,,0,,,,,0,1,,
14178358884,30.0,4284,,,,,,0,,,,,0,2,,
14176340568,,3128,187.7,260.0,187.0,577.4,g7385283,2,,,,,3,10,,
14171061768,30.0,5159,,,,,,0,,,,,0,1,,
14147444176,30.0,2820,,,,,,0,,,,,0,2,,
14139100693,30.0,3328,,,,,,0,,,,,0,2,,
14128445670,0.0,1449,,,,,g7385283,0,,,,,0,3,,
14118720885,30.0,3783,,,,,,0,,,,,0,1,,
14107952807,30.0,3339,,,,,,0,,,,,0,1,,
14100157192,30.0,4684,,,,,,0,,,,,0,3,,
14078606439,30.0,3795,,,,,,0,,,,,0,3,,
14072859761,,1921,,,,,,0,,,,,0,2,,
14072332711,30.0,2212,,,,,,0,,,,,0,1,,
14072332730,30.0,3327,,,,,,0,,,,,0,1,,
14043439745,,2100,,,,,,0,,,,,0,4,,
14022158700,30.0,3618,,,,,,0,,,,,0,2,,
14020985898,,2131,,,,,,0,,,,,0,1,,
14012268955,30.0,2522,,,,,,0,,,,,0,0,,
14021026359,30.0,3379,,,,,,0,,,,,0,1,,
13997125177,30.0,3475,,,,,,0,,,,,0,1,,
13987110287,0.0,2524,186.3,364.0,186.0,464.3,g7385283,4,,,,,4,4,,
14021026744,30.0,2593,,,,,,0,,,,,0,0,,
13965973994,30.0,3600,,,,,,0,,,,,0,0,,
13959685028,,3600,,,,,,0,,,,,0,1,,
13959681716,30.0,2571,,,,,,0,,,,,0,1,,
13931306670,,2460,,,,,,0,,,,,0,1,,
13921053043,30.0,3088,,,,,,0,,,,,0,0,,
13921053025,30.0,2577,,,,,,0,,,,,0,0,,
13901297966,30.0,4136,,,,,,0,,,,,0,2,,
13890103887,30.0,3619,,,,,,0,,,,,0,4,,
13881957918,30.0,4375,,,,,,0,,,,,0,3,,
13874096786,,2612,172.3,233.0,171.0,443.4,g7385283,0,,,,,4,9,,
13867594963,,1865,,,,,g7385283,0,,,,,0,2,,
13865146077,30.0,3911,,,,,,0,,,,,0,3,,
14021027594,,2152,,,,,g7385283,0,,,,,0,0,,
13856065812,30.0,4965,,,,,,0,,,,,0,2,,
13852846114,30.0,4710,,,,,,0,,,,,0,1,,
13843540591,30.0,2974,,,,,,0,,,,,0,4,,
13837662834,,2944,,,,,g7385283,0,,,,,0,4,,
13817691480,30.0,4268,,,,,,0,,,,,0,3,,
13808862290,30.0,4648,,,,,,0,,,,,0,2,,
13808867113,30.0,2387,,,,,,0,,,,,0,1,,
13760961245,0.0,1827,189.9,351.0,190.0,345.9,g7385283,0,,,,,0,8,,
13755571146,,3686,,,,,g7385283,0,,,,,0,4,,
13753723052,30.0,3699,,,,,,0,,,,,0,2,,
13753723053,30.0,3797,,,,,,0,,,,,0,1,,
13726946964,30.0,4800,,,,,,0,,,,,0,3,,
13715282913,30.0,3830,,,,,,0,,,,,0,3,,
13710119621,0.0,992,,,,,g7385283,0,,,,,1,3,,
13709080399,0.0,895,,,,,g7385283,0,,,,,0,9,,
13708981582,30.0,4312,,,,,,0,,,,,0,1,,
13708981578,30.0,2762,,,,,,0,,,,,0,1,,
13680092856,30.0,2806,,,,,,0,,,,,0,2,,
13662354290,30.0,3959,,,,,,0,,,,,0,0,,
13654667646,30.0,4981,,,,,,0,,,,,0,3,,
13646818408,30.0,3679,,,,,,0,,,,,0,2,,
13636205442,30.0,4159,,,,,,0,,,,,0,4,,
13612115135,30.0,3062,,,,,,0,,,,,0,3,,
13603274121,30.0,3592,,,,,,0,,,,,0,4,,
13565965161,0.0,1816,193.6,403.0,193.0,342.4,g7385283,0,,,,,0,5,,
13555004085,30.0,2461,,,,,,0,,,,,0,2,,
13548374714,,591,187.5,258.0,187.0,110.1,g7385283,0,,,,,0,1,,
13496516778,30.0,2875,,,,,,0,,,,,0,2,,
13496523900,30.0,2464,,,,,,0,,,,,0,2,,
13473798817,30.0,3043,,,,,,0,,,,,0,4,,
13442642866,30.0,2709,,,,,,0,,,,,0,1,,
13435924499,30.0,5754,,,,,,0,,,,,0,4,,
13418365614,30.0,3019,,,,,,0,,,,,0,3,,
13406931788,30.0,5417,,,,,,0,,,,,0,2,,
13391658034,30.0,1904,,,,,,0,,,,,0,2,,
13344958182,30.0,3530,,,,,,0,,,,,0,2,,
13335950867,30.0,2635,,,,,,0,,,,,0,4,,
13328257301,30.0,4022,,,,,,0,,,,,0,4,,
13320344832,30.0,1931,,,,,,0,,,,,0,1,,
13302821570,30.0,3358,,,,,,0,,,,,0,2,,
13291758904,30.0,1906,,,,,,0,,,,,0,1,,
13286203616,30.0,3787,,,,,,0,,,,,0,2,,
13267203069,30.0,2980,,,,,,0,,,,,0,2,,
13251402166,,1565,,,,,g7385283,0,,,,,0,0,,
13250735716,,2876,,,,,g7385283,0,,,,,0,0,,
13233081863,30.0,2812,,,,,,0,,,,,0,3,,
13227011885,,3426,,,,,,0,,,,,0,3,,
13226059508,30.0,3786,,,,,,0,,,,,0,4,,
13224152801,0.0,1598,204.3,400.0,205.0,325.6,g7385283,2,,,,,2,10,,
13217629227,,2362,,,,,g7385283,0,,,,,0,3,,
13211599174,30.0,3000,,,,,,0,,,,,0,2,,
13203007365,30.0,5151,,,,,,0,,,,,0,6,,
13169346658,30.0,3285,,,,,,0,,,,,0,2,,
13156584272,30.0,3309,,,,,,0,,,,,0,0,,
13151479883,31.0,3233,,,,,,0,,,,,0,6,,
13165433251,,8727,,,,,g7385283,0,,,,,0,3,,
13143734873,30.0,4182,,,,,,0,,,,,0,2,,
13136631541,30.0,4540,,,,,,0,,,,,0,6,,
13131239687,,3684,,,,,,0,,,,,0,5,,
13128794570,30.0,3686,,,,,,0,,,,,0,5,,
13116202528,30.0,5704,,,,,,0,,,,,0,6,,
13103340142,30.0,3173,,,,,,0,,,,,0,3,,
13094247923,30.0,2502,,,,,,0,,,,,0,6,,
13082014924,30.0,4035,,,,,,0,,,,,0,2,,
13075777766,,592,184.8,220.0,182.0,107.2,g7385283,0,,,,,0,5,,
13061312902,30.0,4032,,,,,,0,,,,,0,3,,
13045142114,30.0,2374,,,,,,0,,,,,0,3,,
13042145669,30.0,3180,,,,,,0,,,,,0,4,,
13034175809,,4469,,,,,,0,,,,,0,6,,
