activity_id,hr_avg,hr_min,hr_max,hr_median,first_half_avg,second_half_avg,cardiac_drift,pct_over_150,pct_over_160,pct_over_170
15858485342,107.2,78,136,107,103.5,110.8,7.3,0.0,0.0,0.0
15846253805,117.3,97,152,115,121.4,113.3,-8.1,0.3,0.0,0.0
15824210476,102.0,83,129,101,103.5,100.6,-2.8,0.0,0.0,0.0
15780034841,116.1,92,147,116,114.2,118.0,3.8,0.0,0.0,0.0
15780034498,113.7,72,143,119,103.1,124.3,21.2,0.0,0.0,0.0
16101188217,119.0,80,150,121,112.6,125.2,12.6,0.0,0.0,0.0
15757320473,115.0,80,140,115,111.5,118.5,6.9,0.0,0.0,0.0
15744324113,107.9,78,138,106,105.5,110.3,4.7,0.0,0.0,0.0
15698528309,122.5,88,157,122,117.5,127.3,9.8,1.2,0.0,0.0
15685172158,121.8,88,154,122,118.1,125.4,7.3,0.4,0.0,0.0
16101188317,113.9,79,144,115,104.2,123.5,19.3,0.0,0.0,0.0
15653479886,110.8,81,135,113,104.9,116.4,11.5,0.0,0.0,0.0
15626872723,114.0,87,146,114,114.3,113.7,-0.7,0.0,0.0,0.0
15609324378,121.2,93,153,121,120.2,122.1,1.9,0.4,0.0,0.0
15596091333,100.8,75,133,100,96.3,105.1,8.8,0.0,0.0,0.0
15584962145,110.5,72,140,110,106.4,114.5,8.2,0.0,0.0,0.0
15550283416,108.7,74,135,110,103.0,114.4,11.4,0.0,0.0,0.0
15539819844,114.4,77,140,115,111.2,117.5,6.3,0.0,0.0,0.0
15518142180,111.3,69,142,112,107.1,115.5,8.4,0.0,0.0,0.0
16101188098,107.2,75,137,108,101.3,113.1,11.8,0.0,0.0,0.0
15495294039,141.1,94,155,145,134.1,148.1,14.0,6.6,0.0,0.0
15480811114,100.0,72,136,100,98.3,101.7,3.4,0.0,0.0,0.0
15470531129,105.0,75,131,105,102.0,108.1,6.1,0.0,0.0,0.0
15459356527,107.2,81,136,107,101.2,113.3,12.0,0.0,0.0,0.0
15451638212,109.4,73,148,107,103.4,115.4,12.0,0.0,0.0,0.0
15451638234,106.1,73,137,105,98.8,113.2,14.3,0.0,0.0,0.0
15379021540,99.7,66,140,102,91.2,108.0,16.7,0.0,0.0,0.0
15366291609,121.4,91,151,122,121.7,121.2,-0.5,0.1,0.0,0.0
15355195063,107.8,73,152,107,101.4,114.1,12.7,0.5,0.0,0.0
15366290654,98.2,71,132,98,96.2,100.2,4.1,0.0,0.0,0.0
15324623799,142.0,117,159,143,141.9,142.1,0.1,15.2,0.0,0.0
15310427923,99.6,65,132,101,93.6,105.6,12.0,0.0,0.0,0.0
15324623938,96.7,71,128,97,96.0,97.4,1.4,0.0,0.0,0.0
15280087765,123.7,105,137,124,122.8,124.6,1.9,0.0,0.0,0.0
15279240652,99.3,75,129,97,97.6,101.1,3.5,0.0,0.0,0.0
15296089641,120.5,113,129,121,121.9,119.2,-2.7,0.0,0.0,0.0
15296089725,107.6,70,135,109,102.7,112.4,9.7,0.0,0.0,0.0
15265031747,141.7,121,160,142,135.0,148.5,13.4,13.7,0.0,0.0
15256009378,121.2,83,158,122,119.2,123.1,3.9,0.8,0.0,0.0
15296091221,129.9,102,158,131,134.5,125.3,-9.2,1.6,0.0,0.0
15223153648,112.8,86,143,113,111.9,113.6,1.6,0.0,0.0,0.0
15214984682,115.4,85,147,114,107.7,123.1,15.4,0.0,0.0,0.0
15203103360,111.5,69,140,111,106.3,116.7,10.4,0.0,0.0,0.0
15169916708,108.3,82,143,107,108.4,108.2,-0.2,0.0,0.0,0.0
15157059025,111.0,71,143,113,104.6,117.2,12.6,0.0,0.0,0.0
15139329998,93.2,74,103,93,92.8,93.5,0.7,0.0,0.0,0.0
15079046791,96.5,78,110,97,95.8,97.3,1.5,0.0,0.0,0.0
15046191993,97.5,77,130,95,94.8,100.1,5.3,0.0,0.0,0.0
15046192178,88.7,75,110,87,88.1,89.4,1.3,0.0,0.0,0.0
14966746630,102.2,77,134,101,98.9,105.6,6.7,0.0,0.0,0.0
14916856573,150.8,109,172,153,146.9,154.6,7.6,63.4,11.4,0.5
14905874289,95.2,75,122,95,92.9,97.7,4.8,0.0,0.0,0.0
14809129539,101.8,75,138,100,100.8,102.9,2.0,0.0,0.0,0.0
14790202123,108.1,79,139,108,104.7,111.4,6.7,0.0,0.0,0.0
14749197078,105.7,78,137,106,102.5,109.0,6.5,0.0,0.0,0.0
14725151254,113.8,82,137,114,110.5,117.0,6.4,0.0,0.0,0.0
14703683085,118.4,88,153,119,111.9,124.8,12.9,0.4,0.0,0.0
14666926063,118.0,102,136,119,115.4,120.6,5.3,0.0,0.0,0.0
14665797131,119.7,93,146,120,118.3,121.2,2.9,0.0,0.0,0.0
14636623921,89.1,66,103,90,88.4,89.9,1.5,0.0,0.0,0.0
14632723073,107.3,73,143,108,97.4,117.0,19.6,0.0,0.0,0.0
14613652192,106.2,82,131,106,105.8,106.6,0.8,0.0,0.0,0.0
14595784670,104.3,87,111,104,105.2,103.3,-1.9,0.0,0.0,0.0
14593947424,147.4,111,165,149,142.1,153.1,10.9,42.1,2.8,0.0
14583192995,117.2,91,141,116,120.8,113.6,-7.2,0.0,0.0,0.0
14571970763,109.8,76,135,110,105.2,114.5,9.3,0.0,0.0,0.0
14565657486,109.4,79,154,109,106.4,112.4,6.0,0.3,0.0,0.0
14556075319,122.0,86,156,122,121.5,122.5,1.0,0.8,0.0,0.0
14533832858,139.7,105,161,142,140.0,139.5,-0.5,11.9,0.1,0.0
14512241186,137.6,99,167,139,132.3,142.7,10.3,11.6,2.5,0.0
14493786842,129.5,84,162,130,133.2,125.9,-7.3,5.5,0.3,0.0
14491239358,115.0,90,140,116,113.7,116.4,2.6,0.0,0.0,0.0
14473335467,93.8,71,104,96,95.8,91.7,-4.0,0.0,0.0,0.0
14469586929,114.4,94,147,112,115.6,113.3,-2.3,0.0,0.0,0.0
14428485789,106.5,70,138,108,100.1,112.9,12.8,0.0,0.0,0.0
14386233325,108.1,74,132,109,105.7,110.5,4.8,0.0,0.0,0.0
14378435507,148.2,113,168,149,145.7,150.8,5.1,32.6,0.3,0.0
14367675664,133.9,109,163,134,138.5,129.3,-9.2,4.3,0.2,0.0
14355665942,121.4,87,146,122,117.4,125.4,8.0,0.0,0.0,0.0
14347628933,134.2,105,152,135,135.6,132.8,-2.7,1.8,0.0,0.0
14323105569,112.1,83,142,112,106.1,118.0,12.0,0.0,0.0,0.0
